Primary NAICS,count,mean,sum
213112,423,5.697399527186761,2410
622110,507,4.733727810650888,2400
238210,376,6.242021276595745,2347
236220,414,5.444444444444445,2254
445110,417,5.004796163069544,2087
491110,420,4.747619047619048,1994
238220,258,6.37984496124031,1646
238160,305,5.239344262295082,1598
237310,316,4.727848101265823,1494
326199,206,6.946601941747573,1431
493110,238,5.7899159663865545,1378
561320,230,5.48695652173913,1262
311615,215,5.530232558139535,1189
561730,206,5.446601941747573,1122
238990,195,5.676923076923077,1107
321113,188,5.117021276595745,962
236210,183,5.251366120218579,961
336611,162,5.901234567901234,956
484121,182,5.15934065934066,939
238120,163,5.644171779141105,920
238310,116,7.706896551724138,894
238910,146,5.842465753424658,853
237130,137,6.116788321167883,838
238140,106,7.811320754716981,828
332312,139,5.805755395683454,807
238110,153,5.176470588235294,792
237110,153,5.065359477124183,775
237120,122,6.081967213114754,742
311611,133,5.2180451127819545,694
721110,128,5.3984375,691
423930,108,6.351851851851852,686
213111,138,4.717391304347826,651
332999,113,5.761061946902655,651
332710,104,6.028846153846154,627
561720,108,5.583333333333333,603
237990,125,4.8,600
623110,127,4.661417322834645,592
562111,106,5.509433962264151,584
811310,103,5.631067961165049,580
311612,114,4.982456140350878,568
221122,92,6.076086956521739,559
311812,111,4.936936936936937,548
444110,86,6.244186046511628,537
452910,80,6.7,536
322121,70,7.442857142857143,521
238290,75,6.92,519
488320,101,4.930693069306931,498
928110,105,4.695238095238095,493
238130,97,5.010309278350515,486
484110,114,4.201754385964913,479
492110,102,4.666666666666667,476
453998,92,5.0,460
423310,67,6.835820895522388,458
423510,86,5.290697674418604,455
325211,66,6.863636363636363,453
339999,69,6.521739130434782,450
311999,85,5.152941176470589,438
238320,70,6.2,434
332322,75,5.72,429
713110,83,5.024096385542169,417
322211,69,5.942028985507246,410
331210,66,6.151515151515151,406
236115,75,5.333333333333333,400
444190,74,5.378378378378378,398
311412,67,5.880597014925373,394
327390,85,4.623529411764705,393
452111,83,4.662650602409639,387
331511,55,6.9818181818181815,384
424410,70,5.4,378
332116,67,5.626865671641791,377
312111,73,5.095890410958904,372
452112,73,5.041095890410959,368
541614,45,8.155555555555555,367
331111,53,6.886792452830188,365
441310,67,5.223880597014926,350
424510,78,4.461538461538462,348
484230,72,4.833333333333333,348
481111,76,4.565789473684211,347
321920,82,4.2073170731707314,345
493190,44,7.795454545454546,343
541330,69,4.840579710144928,334
517110,58,5.689655172413793,330
722511,51,6.450980392156863,329
321999,56,5.767857142857143,323
325998,40,8.0,320
611310,61,5.213114754098361,318
811111,46,6.826086956521739,314
331221,48,6.354166666666667,305
327320,58,5.206896551724138,302
311511,45,6.711111111111111,302
722310,59,5.11864406779661,302
484220,55,5.454545454545454,300
336111,55,5.381818181818182,296
441110,63,4.698412698412699,296
722110,50,5.78,289
493120,54,5.185185185185185,280
515210,40,6.925,277
336212,45,6.044444444444444,272
333132,39,6.9743589743589745,272
621610,53,5.113207547169812,271
326211,44,6.159090909090909,271
323111,52,5.173076923076923,269
336510,36,7.416666666666667,267
423830,41,6.487804878048781,266
236116,41,6.463414634146342,265
561311,58,4.5,261
311919,37,7.027027027027027,260
562910,43,6.023255813953488,259
311513,43,5.976744186046512,257
336399,46,5.5,253
332321,54,4.666666666666667,252
423330,35,7.2,252
331110,47,5.340425531914893,251
722513,50,5.02,251
424490,55,4.490909090909091,247
424690,24,10.291666666666666,247
492210,48,4.979166666666667,239
321911,39,6.0256410256410255,235
326113,42,5.571428571428571,234
321918,39,5.871794871794871,229
325199,36,6.333333333333333,228
325412,34,6.705882352941177,228
333415,50,4.52,226
332996,39,5.743589743589744,224
447110,42,5.285714285714286,222
115111,40,5.4,216
324110,33,6.545454545454546,216
337110,46,4.673913043478261,215
336211,38,5.631578947368421,214
311421,35,5.9714285714285715,209
441320,35,5.942857142857143,208
337121,25,8.24,206
333120,36,5.722222222222222,206
321912,25,8.2,205
336390,33,6.212121212121212,205
331521,28,7.285714285714286,204
333111,34,5.970588235294118,203
532412,30,6.6,198
113310,32,6.1875,198
211111,37,5.324324324324325,197
324121,24,8.166666666666666,196
332812,32,6.09375,195
238190,32,6.09375,195
221210,33,5.848484848484849,193
562998,36,5.277777777777778,190
561910,29,6.517241379310345,189
423120,27,7.0,189
484122,38,4.947368421052632,188
541320,40,4.65,186
562211,24,7.583333333333333,182
311111,25,7.28,182
488210,28,6.5,182
332618,36,5.0,180
336411,43,4.186046511627907,180
326112,28,6.428571428571429,180
322130,28,6.428571428571429,180
332439,30,5.966666666666667,179
722211,34,5.235294117647059,178
488999,29,6.103448275862069,177
321991,28,6.25,175
327331,31,5.645161290322581,175
333999,25,7.0,175
323110,25,7.0,175
331316,33,5.2727272727272725,174
326299,29,5.9655172413793105,173
488510,36,4.805555555555555,173
238170,20,8.65,173
423610,25,6.88,172
332323,23,7.434782608695652,171
332431,22,7.681818181818182,169
325188,27,6.2592592592592595,169
311119,40,4.225,169
326160,24,7.041666666666667,169
327991,25,6.72,168
326122,24,6.958333333333333,167
446110,41,4.048780487804878,166
532490,23,7.130434782608695,164
452990,30,5.466666666666667,164
331222,22,7.363636363636363,162
561790,28,5.714285714285714,160
424420,31,5.129032258064516,159
444130,27,5.851851851851852,158
322291,25,6.2,155
236118,29,5.344827586206897,155
326111,29,5.310344827586207,154
325510,22,6.909090909090909,152
924120,25,6.08,152
331524,18,8.444444444444445,152
221121,20,7.45,149
423320,21,7.095238095238095,149
922140,37,3.972972972972973,147
424910,26,5.615384615384615,146
311821,21,6.904761904761905,145
713920,39,3.717948717948718,145
442110,26,5.576923076923077,145
332111,24,6.0,144
511110,22,6.545454545454546,144
332420,25,5.72,143
722210,27,5.2592592592592595,142
327215,22,6.409090909090909,141
623312,33,4.181818181818182,138
238350,32,4.3125,138
541620,21,6.523809523809524,137
314110,25,5.48,137
321214,31,4.387096774193548,136
332311,27,5.0,135
112120,30,4.5,135
311340,21,6.333333333333333,133
311411,23,5.782608695652174,133
423990,26,5.038461538461538,131
238150,24,5.458333333333333,131
221112,24,5.458333333333333,131
112310,18,7.055555555555555,127
488119,29,4.379310344827586,127
112112,30,4.2,126
561612,37,3.4054054054054053,126
531311,25,5.0,125
331513,24,5.208333333333333,125
339112,20,6.2,124
322299,22,5.636363636363637,124
331492,17,7.294117647058823,124
713910,33,3.757575757575758,124
238390,26,4.653846153846154,121
321211,23,5.260869565217392,121
326220,20,6.05,121
115114,24,5.041666666666667,121
423810,22,5.454545454545454,120
532120,19,6.315789473684211,120
332911,22,5.409090909090909,119
541380,14,8.5,119
336612,21,5.666666666666667,119
325520,14,8.428571428571429,118
332510,16,7.3125,117
336360,17,6.882352941176471,117
311613,20,5.85,117
921190,27,4.296296296296297,116
813110,19,6.105263157894737,116
561210,22,5.2727272727272725,116
332994,15,7.666666666666667,115
339950,16,7.0625,113
424810,19,5.894736842105263,112
333414,9,12.444444444444445,112
325180,13,8.615384615384615,112
624310,21,5.333333333333333,112
621111,23,4.869565217391305,112
332313,19,5.842105263157895,111
442299,16,6.875,110
335999,16,6.875,110
221310,16,6.875,110
333924,17,6.470588235294118,110
713990,19,5.7368421052631575,109
327420,12,9.083333333333334,109
424480,24,4.5,108
451110,16,6.75,108
423110,20,5.4,108
323119,13,8.23076923076923,107
623220,20,5.35,107
326150,16,6.5625,105
322219,13,8.076923076923077,105
488190,25,4.2,105
312120,12,8.75,105
332813,17,6.176470588235294,105
331523,17,6.117647058823529,104
336999,13,8.0,104
453310,14,7.428571428571429,104
311212,16,6.375,102
517210,17,6.0,102
333922,17,6.0,102
311313,13,7.846153846153846,102
332410,22,4.636363636363637,102
337127,17,5.9411764705882355,101
622210,16,6.25,100
336370,24,4.166666666666667,100
712190,16,6.25,100
221119,21,4.761904761904762,100
221114,16,6.25,100
326121,16,6.25,100
335311,18,5.555555555555555,100
445120,28,3.5,98
561990,24,4.083333333333333,98
424470,25,3.92,98
517510,18,5.388888888888889,97
488490,20,4.85,97
336413,23,4.217391304347826,97
311520,12,8.0,96
451120,13,7.384615384615385,96
221118,14,6.857142857142857,96
541940,24,4.0,96
623311,25,3.8,95
493130,19,5.0,95
311991,24,3.9583333333333335,95
336412,12,7.916666666666667,95
331421,16,5.9375,95
331410,15,6.266666666666667,94
424430,14,6.714285714285714,94
336321,9,10.444444444444445,94
562920,19,4.894736842105263,93
541990,16,5.75,92
326130,15,6.066666666666666,91
332722,16,5.6875,91
337215,18,5.055555555555555,91
325320,8,11.375,91
322212,15,6.0,90
561499,15,6.0,90
333298,11,8.181818181818182,90
333992,15,6.0,90
531120,11,8.181818181818182,90
811121,13,6.846153846153846,89
111998,11,8.090909090909092,89
322220,12,7.416666666666667,89
115310,19,4.684210526315789,89
423820,16,5.5625,89
221115,13,6.846153846153846,89
112340,14,6.357142857142857,89
112390,12,7.416666666666667,89
332919,13,6.769230769230769,88
333923,17,5.176470588235294,88
561710,22,4.0,88
811192,16,5.5,88
562212,18,4.888888888888889,88
321992,14,6.285714285714286,88
336330,13,6.6923076923076925,87
423720,15,5.8,87
311811,14,6.214285714285714,87
311423,17,5.117647058823529,87
812332,12,7.083333333333333,85
111310,9,9.444444444444445,85
325620,9,9.444444444444445,85
325311,7,12.142857142857142,85
327211,18,4.722222222222222,85
111219,15,5.533333333333333,83
327993,13,6.384615384615385,83
327213,12,6.916666666666667,83
324122,13,6.3076923076923075,82
721120,16,5.125,82
812331,15,5.4,81
336310,10,8.1,81
333249,11,7.363636363636363,81
331314,10,8.1,81
322222,9,9.0,81
311712,16,5.0,80
624410,15,5.333333333333333,80
333131,9,8.777777777777779,79
424440,13,6.076923076923077,79
517212,11,7.181818181818182,79
623210,19,4.105263157894737,78
531210,10,7.8,78
333319,12,6.416666666666667,77
811219,11,7.0,77
336120,11,7.0,77
442210,10,7.6,76
332721,9,8.444444444444445,76
333911,14,5.428571428571429,76
331491,11,6.909090909090909,76
336350,15,5.066666666666666,76
562119,13,5.769230769230769,75
311211,16,4.6875,75
321219,10,7.5,75
325193,11,6.7272727272727275,74
326140,10,7.4,74
324199,9,8.222222222222221,74
423390,23,3.217391304347826,74
423740,10,7.3,73
922120,16,4.5625,73
334511,13,5.538461538461538,72
332114,13,5.538461538461538,72
339920,8,8.875,71
325920,10,7.1,71
333912,9,7.888888888888889,71
311514,8,8.875,71
622310,17,4.117647058823529,70
444220,12,5.833333333333333,70
453910,15,4.666666666666667,70
111421,14,5.0,70
811118,15,4.666666666666667,70
517911,11,6.363636363636363,70
311422,6,11.5,69
335911,17,4.0588235294117645,69
811198,12,5.75,69
327212,11,6.2727272727272725,69
445210,10,6.9,69
332912,13,5.230769230769231,68
524114,9,7.555555555555555,68
333241,9,7.555555555555555,68
322221,12,5.666666666666667,68
31181,8,8.5,68
322232,7,9.571428571428571,67
441120,10,6.7,67
721199,7,9.428571428571429,66
322110,9,7.333333333333333,66
335122,9,7.222222222222222,65
327332,8,8.125,65
332991,10,6.5,65
423440,7,9.285714285714286,65
313210,10,6.5,65
112210,10,6.5,65
541712,12,5.416666666666667,65
488410,10,6.5,65
323113,8,8.125,65
425120,14,4.571428571428571,64
321212,14,4.571428571428571,64
923140,8,8.0,64
488991,10,6.4,64
621991,9,7.111111111111111,64
323112,7,9.142857142857142,64
333517,8,7.875,63
424210,11,5.7272727272727275,63
334413,9,7.0,63
333921,17,3.6470588235294117,62
486210,9,6.888888888888889,62
531110,20,3.1,62
423860,16,3.8125,61
333312,11,5.545454545454546,61
424610,10,6.1,61
335929,10,6.1,61
484210,12,5.083333333333333,61
313310,8,7.625,61
561310,10,6.1,61
812320,11,5.545454545454546,61
445299,15,4.066666666666666,61
517919,9,6.777777777777778,61
314999,10,6.1,61
522110,21,2.857142857142857,60
512110,12,5.0,60
423710,10,6.0,60
325181,5,12.0,60
327122,6,9.833333333333334,59
332212,10,5.9,59
424990,12,4.916666666666667,59
454312,9,6.555555555555555,59
325120,10,5.9,59
541611,11,5.363636363636363,59
312112,12,4.833333333333333,58
624110,6,9.666666666666666,58
311230,15,3.8666666666666667,58
238330,12,4.833333333333333,58
332992,8,7.25,58
325314,14,4.142857142857143,58
333318,11,5.2727272727272725,58
623990,18,3.1666666666666665,57
327121,11,5.181818181818182,57
541870,6,9.5,57
424820,9,6.222222222222222,56
333294,6,9.333333333333334,56
336214,8,7.0,56
332117,12,4.666666666666667,56
483211,8,7.0,56
485410,9,6.222222222222222,56
423450,7,8.0,56
561431,11,5.090909090909091,56
311920,6,9.166666666666666,55
331512,8,6.875,55
524126,8,6.875,55
325110,11,5.0,55
481112,12,4.583333333333333,55
334416,7,7.857142857142857,55
335912,8,6.75,54
541618,10,5.4,54
561621,15,3.6,54
332993,6,9.0,54
333243,11,4.909090909090909,54
333411,7,7.714285714285714,54
424720,15,3.6,54
624120,13,4.076923076923077,53
541310,5,10.6,53
335110,6,8.666666666666666,52
327120,9,5.777777777777778,52
333514,10,5.2,52
322122,6,8.666666666666666,52
713940,12,4.333333333333333,52
423850,11,4.7272727272727275,52
325220,4,12.75,51
115115,6,8.333333333333334,50
332612,8,6.25,50
448140,15,3.2666666666666666,49
331319,4,12.25,49
336992,11,4.454545454545454,49
112111,20,2.45,49
423730,8,6.125,49
335312,13,3.769230769230769,49
423210,8,6.0,48
423840,14,3.4285714285714284,48
331315,7,6.857142857142857,48
321114,10,4.8,48
112990,5,9.6,48
333993,7,6.857142857142857,48
624229,7,6.714285714285714,47
517410,6,7.833333333333333,47
337122,14,3.357142857142857,47
23611,7,6.714285714285714,47
311822,10,4.7,47
325611,9,5.222222222222222,47
333413,11,4.2727272727272725,47
311942,11,4.2727272727272725,47
562219,16,2.875,46
624190,18,2.5,45
331522,5,9.0,45
339114,3,14.666666666666666,44
332811,9,4.888888888888889,44
713950,5,8.6,43
333611,12,3.5833333333333335,43
812220,6,7.166666666666667,43
444120,5,8.6,43
332613,4,10.75,43
325411,8,5.375,43
322224,6,7.166666666666667,43
238340,7,6.0,42
532310,5,8.4,42
336112,7,6.0,42
311320,8,5.25,42
333412,10,4.2,42
325212,6,7.0,42
812930,11,3.727272727272727,41
325991,7,5.857142857142857,41
334417,7,5.857142857142857,41
334516,6,6.833333333333333,41
311330,7,5.857142857142857,41
336340,4,10.0,40
621910,13,3.076923076923077,40
334510,4,10.0,40
339992,5,8.0,40
621491,9,4.444444444444445,40
115116,4,10.0,40
335991,7,5.714285714285714,40
311221,3,13.333333333333334,40
211112,6,6.666666666666667,40
611110,13,3.076923076923077,40
711110,5,7.8,39
712130,7,5.571428571428571,39
621112,6,6.5,39
333612,3,13.0,39
336322,3,12.666666666666666,38
321213,5,7.6,38
541612,9,4.222222222222222,38
333618,5,7.6,38
561330,6,6.333333333333333,38
923130,5,7.6,38
541850,6,6.333333333333333,38
517910,5,7.6,38
316110,5,7.6,38
712110,5,7.4,37
454310,10,3.7,37
488330,8,4.625,37
313111,3,12.333333333333334,37
313230,9,4.111111111111111,37
922160,6,6.166666666666667,37
327910,5,7.4,37
311710,5,7.4,37
333613,4,9.25,37
325132,3,12.333333333333334,37
541711,11,3.3636363636363638,37
339993,3,12.0,36
327310,8,4.5,36
111411,7,5.142857142857143,36
423140,7,5.142857142857143,36
327110,4,9.0,36
711211,4,9.0,36
327125,5,7.2,36
518210,4,9.0,36
336312,6,6.0,36
532111,13,2.769230769230769,36
333513,6,5.833333333333333,35
331419,5,7.0,35
541420,6,5.833333333333333,35
447190,7,4.857142857142857,34
322214,4,8.5,34
485999,5,6.8,34
811191,9,3.7777777777777777,34
424130,6,5.666666666666667,34
334419,10,3.4,34
331112,4,8.25,33
332611,6,5.5,33
454390,6,5.5,33
551114,6,5.5,33
488390,6,5.5,33
333511,7,4.571428571428571,32
488310,6,5.333333333333333,32
334519,3,10.666666666666666,32
541890,4,8.0,32
323117,5,6.4,32
531390,7,4.428571428571429,31
624221,4,7.75,31
337124,3,10.333333333333334,31
311823,8,3.875,31
333997,4,7.75,31
448190,6,5.166666666666667,31
424110,4,7.75,31
336991,3,10.333333333333334,31
339991,10,3.1,31
561110,10,3.0,30
524128,2,15.0,30
531312,9,3.3333333333333335,30
311711,3,10.0,30
522320,3,10.0,30
327999,4,7.5,30
722320,9,3.3333333333333335,30
23622,2,15.0,30
339113,6,5.0,30
236117,5,6.0,30
611699,7,4.285714285714286,30
621511,5,5.8,29
333994,5,5.8,29
326291,6,4.833333333333333,29
423420,4,7.25,29
334513,6,4.833333333333333,29
713210,8,3.625,29
424590,7,4.142857142857143,29
331313,5,5.8,29
314129,3,9.666666666666666,29
313110,4,7.25,29
325414,3,9.333333333333334,28
335313,7,4.0,28
423910,4,7.0,28
541690,4,7.0,28
337125,4,7.0,28
311312,7,4.0,28
511199,4,7.0,28
448210,3,9.333333333333334,28
221113,9,3.111111111111111,28
811213,6,4.666666666666667,28
333516,4,6.75,27
331318,3,9.0,27
312130,3,9.0,27
424710,6,4.5,27
312113,4,6.75,27
423130,5,5.4,27
926130,4,6.75,27
524291,4,6.75,27
486110,5,5.4,27
924110,5,5.4,27
722330,6,4.5,27
213115,2,13.0,26
711310,9,2.888888888888889,26
621498,6,4.333333333333333,26
339994,4,6.5,26
485113,5,5.2,26
316210,5,5.2,26
561920,8,3.125,25
531130,2,12.5,25
333220,3,8.333333333333334,25
326212,5,5.0,25
928120,8,3.125,25
333512,6,4.166666666666667,25
561439,3,8.333333333333334,25
212319,3,8.333333333333334,25
332913,6,4.166666666666667,25
339932,3,8.333333333333334,25
621210,2,12.0,24
722515,4,6.0,24
313112,3,8.0,24
454210,2,12.0,24
611710,5,4.8,24
423920,5,4.8,24
322226,3,8.0,24
551112,3,8.0,24
711190,5,4.8,24
337211,8,3.0,24
325312,4,6.0,24
334515,7,3.2857142857142856,23
812210,2,11.5,23
327112,2,11.5,23
453210,3,7.666666666666667,23
45399,3,7.666666666666667,23
332119,5,4.6,23
331529,3,7.666666666666667,23
423220,4,5.75,23
482112,3,7.666666666666667,23
482111,4,5.75,23
424450,8,2.875,23
333518,4,5.75,23
541910,3,7.333333333333333,22
713120,3,7.333333333333333,22
311311,2,11.0,22
326192,5,4.4,22
424460,3,7.333333333333333,22
713930,4,5.5,22
448110,3,7.333333333333333,22
448120,4,5.5,22
624210,5,4.4,22
331528,4,5.5,22
326191,4,5.5,22
312229,1,21.0,21
486990,5,4.2,21
811490,7,3.0,21
541710,7,3.0,21
336419,2,10.5,21
511140,4,5.25,21
111422,4,5.25,21
311911,6,3.5,21
333519,3,7.0,21
322223,4,5.25,21
324191,5,4.2,21
481219,3,7.0,21
333515,4,5.25,21
237210,8,2.625,21
441222,3,7.0,21
441228,2,10.5,21
316213,2,10.5,21
531190,4,5.25,21
812910,3,7.0,21
922190,3,6.666666666666667,20
521110,3,6.666666666666667,20
454113,9,2.2222222222222223,20
812990,4,5.0,20
713290,2,10.0,20
999999,3,6.666666666666667,20
335129,3,6.666666666666667,20
311225,2,10.0,20
332998,2,10.0,20
334220,4,5.0,20
323116,2,10.0,20
325612,6,3.3333333333333335,20
111211,6,3.3333333333333335,20
441229,5,4.0,20
332213,4,5.0,20
115210,5,4.0,20
339910,3,6.666666666666667,20
332216,4,4.75,19
813410,7,2.7142857142857144,19
337212,12,1.5833333333333333,19
21111,4,4.75,19
331312,6,3.1666666666666665,19
485510,2,9.5,19
311941,4,4.75,19
811412,5,3.8,19
325194,2,9.5,19
813910,4,4.75,19
333311,4,4.75,19
53,2,9.5,19
532411,2,9.5,19
443111,2,9.5,19
451130,7,2.7142857142857144,19
335921,3,6.0,18
331420,2,9.0,18
483112,1,18.0,18
322215,4,4.5,18
522120,1,18.0,18
311314,3,6.0,18
311830,4,4.5,18
322231,3,6.0,18
312230,1,18.0,18
813211,3,6.0,18
711219,4,4.25,17
335314,4,4.25,17
721214,4,4.25,17
313311,2,8.5,17
621493,3,5.666666666666667,17
926150,2,8.5,17
311930,2,8.5,17
337214,6,2.8333333333333335,17
334111,3,5.666666666666667,17
325192,2,8.5,17
333112,8,2.125,17
424930,3,5.666666666666667,17
311813,7,2.4285714285714284,17
541350,4,4.0,16
221320,2,8.0,16
335210,3,5.333333333333333,16
315299,3,5.333333333333333,16
562112,6,2.6666666666666665,16
32212,3,5.333333333333333,16
441210,2,8.0,16
111191,2,8.0,16
424310,3,5.333333333333333,16
551111,2,8.0,16
445310,3,5.333333333333333,16
333210,3,5.0,15
115113,2,7.5,15
541519,2,7.5,15
115112,5,3.0,15
541613,5,3.0,15
111940,3,5.0,15
923110,2,7.5,15
315990,1,14.0,14
335222,2,7.0,14
48-49,1,14.0,14
541214,2,7.0,14
111331,3,4.666666666666667,14
561422,6,2.3333333333333335,14
561599,2,7.0,14
335211,2,7.0,14
334514,3,4.666666666666667,14
512131,2,7.0,14
111930,4,3.5,14
314912,2,7.0,14
112320,4,3.5,14
453930,2,7.0,14
621340,3,4.666666666666667,14
322230,2,7.0,14
722514,2,7.0,14
314991,2,7.0,14
337920,1,14.0,14
522291,2,6.5,13
921110,2,6.5,13
517310,2,6.5,13
621399,3,4.333333333333333,13
111150,3,4.333333333333333,13
111199,5,2.6,13
315280,1,13.0,13
315211,1,13.0,13
523110,2,6.5,13
323115,1,13.0,13
621330,2,6.5,13
621999,7,1.8571428571428572,13
325191,1,13.0,13
337910,2,6.5,13
711320,4,3.25,13
446120,3,4.333333333333333,13
331525,3,4.333333333333333,13
511120,1,13.0,13
488111,3,4.333333333333333,13
483111,4,3.25,13
562213,5,2.6,13
481211,1,13.0,13
485991,1,12.0,12
721211,3,4.0,12
532299,3,4.0,12
926110,2,6.0,12
336320,1,12.0,12
312210,1,12.0,12
113210,1,12.0,12
33311,1,12.0,12
541430,4,3.0,12
42482,1,12.0,12
424950,2,6.0,12
311824,6,2.0,12
611512,2,5.5,11
212313,3,3.6666666666666665,11
611511,1,11.0,11
33361,1,11.0,11
327992,1,11.0,11
711130,2,5.5,11
311352,4,2.75,11
444210,2,5.5,11
524210,6,1.8333333333333333,11
611620,3,3.6666666666666665,11
445220,1,11.0,11
812921,2,5.5,11
311222,3,3.6666666666666665,11
325910,3,3.3333333333333335,10
541860,6,1.6666666666666667,10
611430,3,3.3333333333333335,10
33151,1,10.0,10
5419,1,10.0,10
332112,1,10.0,10
33122,2,5.0,10
519190,3,3.3333333333333335,10
334119,1,10.0,10
311224,1,10.0,10
333313,1,10.0,10
49311,1,10.0,10
311213,2,5.0,10
3261,1,10.0,10
339940,1,10.0,10
519120,1,10.0,10
336414,3,3.3333333333333335,10
212299,1,10.0,10
523930,2,5.0,10
454311,2,5.0,10
813319,6,1.6666666666666667,10
445292,2,5.0,10
541512,4,2.25,9
212321,4,2.25,9
424940,1,9.0,9
532291,1,9.0,9
33231,1,9.0,9
332215,2,4.5,9
561740,3,2.6666666666666665,8
443141,1,8.0,8
333293,3,2.6666666666666665,8
334290,2,4.0,8
314992,1,8.0,8
32192,1,8.0,8
334,1,8.0,8
313312,2,4.0,8
1113,1,7.0,7
621420,4,1.75,7
561510,1,7.0,7
813312,1,7.0,7
315231,1,7.0,7
611210,1,7.0,7
1121,2,3.5,7
112920,3,2.3333333333333335,7
811212,2,3.5,7
56172,1,7.0,7
712120,2,3.5,7
31141,1,7.0,7
212399,1,7.0,7
313320,1,7.0,7
221111,2,3.5,7
22112,1,7.0,7
2361,1,7.0,7
325182,1,7.0,7
325131,1,7.0,7
23811,1,7.0,7
323122,1,7.0,7
311512,2,3.5,7
56221,1,7.0,7
323121,1,7.0,7
56142,2,3.5,7
111110,2,3.5,7
423410,2,3.5,7
339116,2,3.5,7
334512,2,3.5,7
454111,3,2.3333333333333335,7
481212,4,1.75,7
524113,1,7.0,7
333316,2,3.5,7
425110,2,3.5,7
424320,2,3.5,7
335931,2,3.5,7
33611,2,3.5,7
336415,1,7.0,7
541370,5,1.4,7
484,1,7.0,7
541513,1,7.0,7
42369,1,7.0,7
424520,4,1.75,7
4451,1,7.0,7
485320,2,3.5,7
55111,1,7.0,7
423,1,7.0,7
54194,1,7.0,7
454319,3,2.0,6
333995,2,3.0,6
113110,2,3.0,6
33661,1,6.0,6
813311,2,3.0,6
333991,2,3.0,6
21,1,6.0,6
339995,3,2.0,6
448150,3,2.0,6
334414,1,6.0,6
711510,2,3.0,6
11121,1,6.0,6
114210,2,3.0,6
722212,2,3.0,6
451211,1,6.0,6
111320,1,6.0,6
22111,1,6.0,6
221330,3,2.0,6
331411,2,3.0,6
56299,1,6.0,6
311223,2,2.5,5
42339,1,5.0,5
335224,3,1.6666666666666667,5
2371,1,5.0,5
33299,1,5.0,5
325613,1,5.0,5
443112,3,1.6666666666666667,5
487110,1,4.0,4
811211,2,2.0,4
33641,3,1.3333333333333333,4
311351,3,1.3333333333333333,4
313241,1,4.0,4
334518,1,4.0,4
624230,1,4.0,4
212234,1,4.0,4
423620,4,1.0,4
335221,2,2.0,4
423690,3,1.3333333333333333,4
339942,1,4.0,4
114112,2,2.0,4
111992,1,4.0,4
335932,1,4.0,4
327124,4,1.0,4
111130,1,4.0,4
334210,2,2.0,4
33392,1,4.0,4
325992,2,2.0,4
32599,1,4.0,4
325221,1,4.0,4
331422,1,4.0,4
332115,1,4.0,4
332214,1,4.0,4
443130,1,4.0,4
323120,1,4.0,4
111336,1,4.0,4
541110,2,2.0,4
111419,2,2.0,4
333291,1,4.0,4
611519,2,2.0,4
333292,3,1.3333333333333333,4
333244,1,4.0,4
523999,2,2.0,4
315228,1,4.0,4
111920,1,4.0,4
515120,3,1.0,3
926120,5,0.6,3
424120,1,3.0,3
532420,2,1.5,3
325130,1,3.0,3
522298,2,1.5,3
923120,1,3.0,3
522310,2,1.5,3
811411,2,1.5,3
926140,1,0.0,0
445230,2,0.0,0
81111,1,0.0,0
448130,1,0.0,0
445291,2,0.0,0
112130,1,0.0,0
811122,1,0.0,0
443142,1,0.0,0
81233,2,0.0,0
8111,1,0.0,0
813212,2,0.0,0
424330,1,0.0,0
812310,1,0.0,0
453920,1,0.0,0
443120,1,0.0,0
111334,2,0.0,0
423940,1,0.0,0
112511,3,0.0,0
1114,1,0.0,0
921130,4,0.0,0
812199,2,0.0,0
454110,1,0.0,0
453220,1,0.0,0
44131,1,0.0,0
812112,1,0.0,0
424920,2,0.0,0
32721,1,0.0,0
485111,1,0.0,0
323118,1,0.0,0
525930,1,0.0,0
525990,1,0.0,0
316991,1,0.0,0
333314,1,0.0,0
32213,1,0.0,0
532112,1,0.0,0
532210,1,0.0,0
532292,3,0.0,0
33329,1,0.0,0
322225,1,0.0,0
541191,1,0.0,0
541360,2,0.0,0
541410,2,0.0,0
722410,1,0.0,0
332211,1,0.0,0
541720,2,0.0,0
541820,1,0.0,0
541840,1,0.0,0
331423,1,0.0,0
561622,1,0.0,0
561613,1,0.0,0
3312,2,0.0,0
331,1,0.0,0
327410,1,0.0,0
5613,1,0.0,0
327123,1,0.0,0
333996,2,0.0,0
621512,1,0.0,0
315220,1,0.0,0
523910,1,0.0,0
212322,1,0.0,0
212391,1,0.0,0
485210,1,0.0,0
486910,2,0.0,0
721191,1,0.0,0
23,2,0.0,0
339115,3,0.0,0
23822,1,0.0,0
23891,1,0.0,0
339111,1,0.0,0
33712,2,0.0,0
335228,1,0.0,0
711212,2,0.0,0
31161,1,0.0,0
511130,1,0.0,0
511191,2,0.0,0
512191,1,0.0,0
31191,1,0.0,0
335121,2,0.0,0
3121,1,0.0,0
334611,1,0.0,0
313113,1,0.0,0
334412,1,0.0,0
314910,1,0.0,0
334113,1,0.0,0
446199,1,0.0,0
